word,freq
#여행,297
#여행스타그램,234
#여행에미치다,223
#travel,219
#일상,201
#아프리카,152
#데일리,147
#daily,137
#소통,128
#좋아요,124
#맞팔,122
#셀스타그램,110
#셀카,98
#selfie,96
#세계여행,94
#선팔,93
#셀피,87
#ootd,77
#follow,72
#africa,70
#한국,68
#유디니,67
#배낭여행,62
#팔로우,62
#trip,59
#travelgram,58
#데일리룩,58
#유럽여행,57
#f4f,54
#유럽,53
#여행사진,50
#오오티디,50
#인스타그램,49
#아프리카여행,49
#photography,44
#사진,41
#얼스타그램,41
#korea,41
#instagood,41
#세계일주,40
#photooftheday,40
#해외여행,39
#dailylook,39
#photo,39
#travelphotography,39
#패션,36
#instagram,34
#대한민국,33
#selca,33
#like,33
#traveler,32
#fff,30
#인친,29
#부산,28
#좋아요반사,28
#남미여행,28
#인도네시아,28
#instatravel,27
#fashion,27
#모델,27
#korean,27
#l4l,27
#태국,27
#먹스타그램,26
#일상스타그램,26
#instadaily,26
#캄보디아,26
#선팔하면맞팔,25
#love,25
#europe,25
